       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[0, 0]-0.000, -0.005, -0.004,  0.035,  0.008, -0.016, -0.019,  0.000, -0.001, -0.078, -0.063,  0.582,  0.139, -0.258, -0.319,  0.002,  0.000,  0.048,  0.038, -0.356, -0.085,  0.158,  0.195, -0.001, -0.000, -0.007, -0.006,  0.053,  0.013, -0.023, -0.029,  0.000,  0.000,  0.048,  0.039, -0.359, -0.086,  0.159,  0.197, -0.001, -0.000, -0.007, -0.005,  0.051,  0.012, -0.023, -0.028,  0.000,  0.000,  0.024,  0.019, -0.175, -0.042,  0.077,  0.096, -0.001,  0.000,  0.001,  0.001, -0.009, -0.002,  0.004,  0.005, -0.000, 
[0, 1] 0.000,  0.000, -0.031, -0.007,  0.031,  0.007, -0.000, -0.000,  0.001,  0.000, -0.505, -0.122,  0.502,  0.122, -0.002, -0.000, -0.001, -0.000,  0.309,  0.074, -0.307, -0.074,  0.001,  0.000,  0.000,  0.000, -0.046, -0.011,  0.045,  0.011, -0.000, -0.000, -0.001, -0.000,  0.311,  0.075, -0.309, -0.075,  0.001,  0.000,  0.000,  0.000, -0.044, -0.011,  0.044,  0.011, -0.000, -0.000, -0.000, -0.000,  0.152,  0.036, -0.151, -0.036,  0.001,  0.000, -0.000, -0.000,  0.008,  0.002, -0.008, -0.002,  0.000,  0.000, 
[1, 0]-0.000, -0.008,  0.006, -0.000, -0.002,  0.033, -0.028,  0.001, -0.007, -0.135,  0.107, -0.007, -0.029,  0.547, -0.454,  0.024,  0.004,  0.083, -0.065,  0.004,  0.017, -0.334,  0.277, -0.015, -0.001, -0.012,  0.010, -0.001, -0.003,  0.049, -0.041,  0.002,  0.004,  0.083, -0.066,  0.004,  0.018, -0.337,  0.280, -0.015, -0.001, -0.012,  0.009, -0.001, -0.003,  0.048, -0.040,  0.002,  0.002,  0.041, -0.032,  0.002,  0.009, -0.164,  0.136, -0.007,  0.000,  0.002, -0.002,  0.000,  0.000, -0.009,  0.007, -0.000, 
[1, 1] 0.001, -0.002, -0.002,  0.010, -0.002,  0.010,  0.010, -0.041,  0.008, -0.040, -0.040,  0.163, -0.040,  0.162,  0.162, -0.673, -0.005,  0.024,  0.024, -0.100,  0.024, -0.099, -0.099,  0.411,  0.001, -0.004, -0.004,  0.015, -0.004,  0.015,  0.015, -0.061, -0.005,  0.024,  0.024, -0.100,  0.024, -0.100, -0.100,  0.415,  0.001, -0.003, -0.003,  0.014, -0.003,  0.014,  0.014, -0.059, -0.003,  0.012,  0.012, -0.049,  0.012, -0.049, -0.049,  0.202, -0.000,  0.001,  0.001, -0.003,  0.001, -0.003, -0.003,  0.010, 
[0, 0]-0.086,  0.214,  0.241, -0.429,  0.227, -0.373, -0.483, -0.352, -0.021,  0.051,  0.058, -0.102,  0.054, -0.089, -0.115, -0.084, -0.021,  0.052,  0.059, -0.105,  0.056, -0.091, -0.118, -0.086, -0.005,  0.013,  0.014, -0.025,  0.014, -0.022, -0.029, -0.021, -0.021,  0.051,  0.058, -0.103,  0.055, -0.090, -0.116, -0.085, -0.006,  0.016,  0.018, -0.032,  0.017, -0.027, -0.036, -0.026, -0.004,  0.010,  0.011, -0.019,  0.010, -0.017, -0.022, -0.016, -0.001,  0.003,  0.003, -0.005,  0.003, -0.005, -0.006, -0.004, 
[0, 1] 0.351, -0.513, -0.382, -0.236, -0.385, -0.238, -0.206, -0.085,  0.084, -0.123, -0.091, -0.057, -0.092, -0.057, -0.049, -0.020,  0.086, -0.126, -0.094, -0.058, -0.094, -0.058, -0.051, -0.021,  0.021, -0.030, -0.023, -0.014, -0.023, -0.014, -0.012, -0.005,  0.084, -0.123, -0.092, -0.057, -0.093, -0.057, -0.050, -0.020,  0.026, -0.038, -0.028, -0.017, -0.028, -0.018, -0.015, -0.006,  0.016, -0.023, -0.017, -0.011, -0.017, -0.011, -0.009, -0.004,  0.004, -0.007, -0.005, -0.003, -0.005, -0.003, -0.003, -0.001, 
[1, 0] 0.041,  0.673, -0.411,  0.061, -0.415,  0.059, -0.202, -0.010,  0.010,  0.161, -0.098,  0.015, -0.099,  0.014, -0.048, -0.002,  0.010,  0.165, -0.101,  0.015, -0.102,  0.014, -0.049, -0.003,  0.002,  0.040, -0.024,  0.004, -0.025,  0.004, -0.012, -0.001,  0.010,  0.162, -0.099,  0.015, -0.100,  0.014, -0.049, -0.003,  0.003,  0.050, -0.030,  0.004, -0.031,  0.004, -0.015, -0.001,  0.002,  0.030, -0.019,  0.003, -0.019,  0.003, -0.009, -0.000,  0.001,  0.009, -0.005,  0.001, -0.005,  0.001, -0.003, -0.000, 
[1, 1] 0.843,  0.202,  0.207,  0.050,  0.203,  0.062,  0.038,  0.011,  0.202,  0.048,  0.049,  0.012,  0.049,  0.015,  0.009,  0.003,  0.207,  0.049,  0.051,  0.012,  0.050,  0.015,  0.009,  0.003,  0.050,  0.012,  0.012,  0.003,  0.012,  0.004,  0.002,  0.001,  0.203,  0.049,  0.050,  0.012,  0.049,  0.015,  0.009,  0.003,  0.062,  0.015,  0.015,  0.004,  0.015,  0.005,  0.003,  0.001,  0.038,  0.009,  0.009,  0.002,  0.009,  0.003,  0.002,  0.000,  0.011,  0.003,  0.003,  0.001,  0.003,  0.001,  0.000,  0.000, 
[0, 0]-0.001, -0.098, -0.079,  0.730,  0.174, -0.323, -0.400,  0.002, -0.000, -0.024, -0.019,  0.174,  0.042, -0.077, -0.096,  0.001, -0.000, -0.024, -0.019,  0.179,  0.043, -0.079, -0.098,  0.001, -0.000, -0.006, -0.005,  0.043,  0.010, -0.019, -0.024,  0.000, -0.000, -0.024, -0.019,  0.176,  0.042, -0.078, -0.096,  0.001, -0.000, -0.007, -0.006,  0.054,  0.013, -0.024, -0.029,  0.000, -0.000, -0.004, -0.004,  0.033,  0.008, -0.015, -0.018,  0.000, -0.000, -0.001, -0.001,  0.009,  0.002, -0.004, -0.005,  0.000, 
[0, 1] 0.002,  0.000, -0.633, -0.152,  0.629,  0.152, -0.003, -0.000,  0.000,  0.000, -0.151, -0.036,  0.150,  0.036, -0.001, -0.000,  0.000,  0.000, -0.155, -0.037,  0.154,  0.037, -0.001, -0.000,  0.000,  0.000, -0.038, -0.009,  0.037,  0.009, -0.000, -0.000,  0.000,  0.000, -0.152, -0.037,  0.151,  0.037, -0.001, -0.000,  0.000,  0.000, -0.047, -0.011,  0.046,  0.011, -0.000, -0.000,  0.000,  0.000, -0.029, -0.007,  0.028,  0.007, -0.000, -0.000,  0.000,  0.000, -0.008, -0.002,  0.008,  0.002, -0.000, -0.000, 
[1, 0]-0.008, -0.169,  0.134, -0.008, -0.036,  0.686, -0.569,  0.030, -0.002, -0.041,  0.032, -0.002, -0.009,  0.164, -0.136,  0.007, -0.002, -0.042,  0.033, -0.002, -0.009,  0.168, -0.139,  0.007, -0.000, -0.010,  0.008, -0.000, -0.002,  0.041, -0.034,  0.002, -0.002, -0.041,  0.032, -0.002, -0.009,  0.165, -0.137,  0.007, -0.001, -0.012,  0.010, -0.001, -0.003,  0.050, -0.042,  0.002, -0.000, -0.008,  0.006, -0.000, -0.002,  0.031, -0.026,  0.001, -0.000, -0.002,  0.002, -0.000, -0.000,  0.009, -0.007,  0.000, 
[1, 1] 0.010, -0.050, -0.050,  0.204, -0.050,  0.204,  0.204, -0.843,  0.003, -0.012, -0.012,  0.049, -0.012,  0.049,  0.049, -0.202,  0.003, -0.012, -0.012,  0.050, -0.012,  0.050,  0.050, -0.207,  0.001, -0.003, -0.003,  0.012, -0.003,  0.012,  0.012, -0.050,  0.003, -0.012, -0.012,  0.049, -0.012,  0.049,  0.049, -0.203,  0.001, -0.004, -0.004,  0.015, -0.004,  0.015,  0.015, -0.062,  0.000, -0.002, -0.002,  0.009, -0.002,  0.009,  0.009, -0.038,  0.000, -0.001, -0.001,  0.003, -0.001,  0.003,  0.003, -0.011, 
[0, 0] 0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.010, -0.025, -0.028,  0.050, -0.027,  0.044,  0.056,  0.041,  0.008, -0.020, -0.022,  0.040, -0.021,  0.035,  0.045,  0.033, -0.074,  0.185,  0.209, -0.371,  0.197, -0.323, -0.418, -0.305, -0.018,  0.044,  0.050, -0.088,  0.047, -0.077, -0.100, -0.073,  0.033, -0.082, -0.093,  0.164, -0.087,  0.143,  0.185,  0.135,  0.041, -0.102, -0.115,  0.203, -0.108,  0.177,  0.229,  0.167, -0.000,  0.001,  0.001, -0.001,  0.001, -0.001, -0.001, -0.001, 
[0, 1]-0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.041,  0.060,  0.045,  0.028,  0.045,  0.028,  0.024,  0.010, -0.033,  0.048,  0.036,  0.022,  0.036,  0.022,  0.019,  0.008,  0.304, -0.444, -0.330, -0.205, -0.334, -0.206, -0.179, -0.073,  0.072, -0.106, -0.079, -0.049, -0.080, -0.049, -0.043, -0.018, -0.135,  0.197,  0.146,  0.091,  0.148,  0.091,  0.079,  0.033, -0.167,  0.244,  0.181,  0.112,  0.183,  0.113,  0.098,  0.040,  0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.000, 
[1, 0]-0.000, -0.001,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.005, -0.078,  0.048, -0.007,  0.048, -0.007,  0.024,  0.001, -0.004, -0.063,  0.038, -0.006,  0.039, -0.005,  0.019,  0.001,  0.035,  0.582, -0.356,  0.053, -0.359,  0.051, -0.175, -0.009,  0.008,  0.139, -0.085,  0.013, -0.086,  0.012, -0.042, -0.002, -0.016, -0.258,  0.158, -0.023,  0.159, -0.023,  0.077,  0.004, -0.019, -0.319,  0.195, -0.029,  0.197, -0.028,  0.096,  0.005,  0.000,  0.002, -0.001,  0.000, -0.001,  0.000, -0.001, -0.000, 
[1, 1]-0.001, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.098, -0.024, -0.024, -0.006, -0.024, -0.007, -0.004, -0.001, -0.079, -0.019, -0.019, -0.005, -0.019, -0.006, -0.004, -0.001,  0.730,  0.174,  0.179,  0.043,  0.176,  0.054,  0.033,  0.009,  0.174,  0.042,  0.043,  0.010,  0.042,  0.013,  0.008,  0.002, -0.323, -0.077, -0.079, -0.019, -0.078, -0.024, -0.015, -0.004, -0.400, -0.096, -0.098, -0.024, -0.096, -0.029, -0.018, -0.005,  0.002,  0.001,  0.001,  0.000,  0.001,  0.000,  0.000,  0.000, 
[0, 0] 0.000,  0.000,  0.000, -0.001, -0.000,  0.000,  0.000, -0.000,  0.000,  0.011,  0.009, -0.085, -0.020,  0.038,  0.047, -0.000,  0.000,  0.009,  0.007, -0.068, -0.016,  0.030,  0.037, -0.000, -0.001, -0.085, -0.068,  0.631,  0.151, -0.280, -0.346,  0.002, -0.000, -0.020, -0.016,  0.151,  0.036, -0.067, -0.083,  0.000,  0.000,  0.038,  0.030, -0.280, -0.067,  0.124,  0.153, -0.001,  0.000,  0.047,  0.037, -0.346, -0.083,  0.153,  0.190, -0.001, -0.000, -0.000, -0.000,  0.002,  0.000, -0.001, -0.001,  0.000, 
[0, 1]-0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.074,  0.018, -0.073, -0.018,  0.000,  0.000, -0.000, -0.000,  0.059,  0.014, -0.059, -0.014,  0.000,  0.000,  0.001,  0.000, -0.548, -0.132,  0.544,  0.132, -0.002, -0.000,  0.000,  0.000, -0.131, -0.031,  0.130,  0.031, -0.001, -0.000, -0.001, -0.000,  0.243,  0.058, -0.241, -0.058,  0.001,  0.000, -0.001, -0.000,  0.301,  0.072, -0.299, -0.072,  0.001,  0.000,  0.000,  0.000, -0.002, -0.000,  0.002,  0.000, -0.000, -0.000, 
